incident_id,vehicle_id,part_id,incident_date,defect_type,defect_source,severity,customer_complaint,status
146,418,20,2023-02-12,Overheating,Supplier Defect,High,False,Closed
147,197,13,2023-02-13,Noise,Manufacturing Error,High,True,Closed
148,406,7,2023-02-13,Performance Issue,Assembly Error,Low,False,Closed
149,444,7,2023-02-14,Noise,Supplier Defect,Low,False,Closed
150,257,12,2023-02-15,Overheating,Design Issue,High,True,Closed
151,456,24,2023-02-15,Breakage,Material Failure,High,True,Closed
152,306,8,2023-02-15,Performance Issue,Unknown,Medium,True,Closed
153,455,12,2023-02-16,Overheating,Manufacturing Error,High,False,Closed
154,363,24,2023-02-16,Noise,Material Failure,Low,True,Closed
155,277,21,2023-02-16,Performance Issue,Material Failure,Medium,False,Closed
156,185,24,2023-02-16,Noise,Material Failure,Low,True,Closed
157,17,15,2023-02-16,Electrical Failure,Customer Misuse,Medium,True,Closed
158,209,27,2023-02-16,Leakage,Assembly Error,Critical,True,Closed
159,287,17,2023-02-16,Software Error,Customer Misuse,Medium,False,Closed
160,392,15,2023-02-17,Electrical Failure,Supplier Defect,High,True,Closed
161,491,21,2023-02-17,Overheating,Supplier Defect,High,True,Closed
162,377,19,2023-02-17,Electrical Failure,Supplier Defect,High,True,Closed
163,434,21,2023-02-17,Overheating,Manufacturing Error,Medium,True,Closed
164,266,16,2023-02-18,Software Error,Design Issue,Medium,True,Closed
165,423,1,2023-02-18,Incorrect Installation,Assembly Error,Low,True,Closed
166,461,4,2023-02-19,Performance Issue,Manufacturing Error,Low,False,Closed
167,319,18,2023-02-19,Performance Issue,Supplier Defect,Low,False,Closed
168,473,16,2023-02-19,Electrical Failure,Unknown,High,True,Closed
169,233,29,2023-02-20,Noise,Supplier Defect,Low,True,Closed
170,90,24,2023-02-20,Breakage,Design Issue,Medium,False,Closed
171,419,11,2023-02-20,Leakage,Customer Misuse,Low,True,Closed
172,260,7,2023-02-20,Performance Issue,Design Issue,Medium,True,Closed
173,58,5,2023-02-20,Incorrect Installation,Assembly Error,Medium,True,Closed
174,25,29,2023-02-20,Performance Issue,Supplier Defect,Critical,True,Closed
175,107,30,2023-02-20,Breakage,Customer Misuse,High,False,Closed
176,12,7,2023-02-20,Noise,Assembly Error,Low,False,Closed
177,33,12,2023-02-20,Overheating,Assembly Error,High,True,Closed
178,341,15,2023-02-21,Performance Issue,Supplier Defect,Medium,True,Closed
179,315,17,2023-02-21,Performance Issue,Supplier Defect,Low,True,Under Investigation
180,322,12,2023-02-21,Leakage,Supplier Defect,Low,True,Closed
181,214,19,2023-02-21,Electrical Failure,Manufacturing Error,Medium,True,Closed
182,432,5,2023-02-22,Leakage,Material Failure,Low,False,Closed
183,89,10,2023-02-22,Performance Issue,Material Failure,Medium,False,Closed
184,159,25,2023-02-22,Noise,Manufacturing Error,Medium,True,Closed
185,92,16,2023-02-22,Electrical Failure,Assembly Error,Medium,False,Closed
186,361,1,2023-02-22,Incorrect Installation,Assembly Error,Low,False,Closed
187,104,4,2023-02-22,Breakage,Material Failure,High,True,Closed
188,327,9,2023-02-23,Noise,Supplier Defect,Medium,True,Closed
189,330,1,2023-02-24,Performance Issue,Manufacturing Error,Low,False,Closed
190,423,7,2023-02-25,Breakage,Manufacturing Error,High,True,Closed
191,289,9,2023-02-25,Noise,Material Failure,Medium,False,Closed
192,423,16,2023-02-25,Performance Issue,Assembly Error,Low,True,Closed
193,290,13,2023-02-25,Overheating,Customer Misuse,High,True,Closed
194,232,7,2023-02-25,Noise,Supplier Defect,Low,False,Closed
195,450,22,2023-02-26,Noise,Supplier Defect,Low,False,Closed
196,252,27,2023-02-26,Noise,Supplier Defect,Medium,True,Closed
197,28,1,2023-02-27,Overheating,Material Failure,High,False,Closed
198,170,24,2023-02-27,Breakage,Manufacturing Error,Medium,True,Closed
199,410,5,2023-02-27,Leakage,Supplier Defect,Low,False,Closed
200,137,29,2023-02-27,Leakage,Supplier Defect,Low,False,Closed
201,384,9,2023-02-28,Leakage,Assembly Error,High,False,Closed
202,108,24,2023-02-28,Noise,Manufacturing Error,Medium,False,Closed
203,294,23,2023-02-28,Leakage,Unknown,High,True,Closed
204,163,18,2023-02-28,Software Error,Supplier Defect,Medium,False,Closed
205,196,24,2023-02-28,Noise,Unknown,Low,False,Closed
206,267,2,2023-02-28,Performance Issue,Design Issue,Medium,False,Closed
207,411,25,2023-03-01,Noise,Supplier Defect,Low,False,Closed
208,291,16,2023-03-01,Software Error,Design Issue,Medium,True,Closed
209,289,16,2023-03-01,Electrical Failure,Material Failure,Medium,True,Closed
210,347,13,2023-03-02,Overheating,Supplier Defect,High,True,Closed
211,24,25,2023-03-02,Leakage,Unknown,Medium,True,Closed
212,219,11,2023-03-03,Leakage,Manufacturing Error,Low,False,Closed
213,492,4,2023-03-04,Breakage,Customer Misuse,High,False,Closed
214,40,29,2023-03-04,Performance Issue,Supplier Defect,Critical,False,Closed
215,35,2,2023-03-04,Noise,Material Failure,Low,False,Closed
216,507,17,2023-03-05,Electrical Failure,Supplier Defect,Medium,False,Closed
217,504,30,2023-03-05,Noise,Manufacturing Error,Low,False,Closed
218,94,8,2023-03-07,Performance Issue,Supplier Defect,High,False,Closed
219,261,24,2023-03-07,Breakage,Design Issue,High,True,Closed
220,92,27,2023-03-07,Incorrect Installation,Assembly Error,Medium,False,Closed
221,248,24,2023-03-07,Noise,Material Failure,Medium,True,Closed
222,133,18,2023-03-07,Incorrect Installation,Assembly Error,Low,True,Closed
223,8,22,2023-03-08,Noise,Assembly Error,Low,False,Closed
224,44,18,2023-03-09,Software Error,Manufacturing Error,Low,True,Closed
225,38,22,2023-03-09,Performance Issue,Supplier Defect,Medium,True,Closed
226,404,24,2023-03-09,Breakage,Supplier Defect,High,True,Closed
227,300,28,2023-03-09,Leakage,Supplier Defect,Medium,False,Closed
228,278,27,2023-03-09,Incorrect Installation,Assembly Error,Medium,False,Closed
229,450,8,2023-03-09,Noise,Material Failure,High,True,Closed
230,444,7,2023-03-09,Performance Issue,Material Failure,High,True,Closed
231,88,21,2023-03-09,Electrical Failure,Design Issue,Low,False,Closed
232,348,30,2023-03-11,Noise,Supplier Defect,Low,False,Closed
233,478,22,2023-03-11,Noise,Material Failure,Medium,True,Closed
234,70,21,2023-03-11,Incorrect Installation,Assembly Error,Medium,False,Closed
235,240,15,2023-03-11,Software Error,Design Issue,High,True,Closed
236,1,9,2023-03-11,Performance Issue,Supplier Defect,Low,False,Closed
237,218,24,2023-03-11,Breakage,Material Failure,Medium,True,Closed
238,488,9,2023-03-11,Noise,Supplier Defect,Low,False,Closed
239,423,21,2023-03-12,Overheating,Supplier Defect,Critical,True,Closed
240,91,20,2023-03-12,Electrical Failure,Unknown,High,False,Closed
241,315,2,2023-03-12,Breakage,Design Issue,Medium,True,Closed
242,398,24,2023-03-12,Noise,Customer Misuse,Low,False,Closed
243,287,23,2023-03-12,Breakage,Supplier Defect,Medium,False,Closed
244,321,25,2023-03-12,Performance Issue,Supplier Defect,Medium,True,Closed
245,336,9,2023-03-12,Breakage,Material Failure,High,True,Closed
246,420,12,2023-03-12,Breakage,Manufacturing Error,Critical,True,Closed
247,478,21,2023-03-14,Electrical Failure,Supplier Defect,High,True,Closed
248,89,4,2023-03-14,Breakage,Unknown,Critical,True,Closed
249,458,7,2023-03-14,Noise,Supplier Defect,Low,False,Closed
250,57,14,2023-03-14,Leakage,Supplier Defect,Critical,True,Closed
251,37,6,2023-03-14,Leakage,Manufacturing Error,Medium,False,Closed
252,468,28,2023-03-15,Noise,Manufacturing Error,Low,True,Closed
253,338,16,2023-03-16,Software Error,Material Failure,Medium,True,Closed
254,196,24,2023-03-16,Leakage,Manufacturing Error,Medium,True,Closed
255,71,11,2023-03-17,Overheating,Supplier Defect,Medium,False,Closed
256,128,26,2023-03-17,Noise,Material Failure,Low,False,Closed
257,323,8,2023-03-17,Leakage,Material Failure,Medium,True,Closed
258,374,9,2023-03-18,Performance Issue,Supplier Defect,Medium,False,Closed
259,70,7,2023-03-18,Noise,Supplier Defect,Low,False,Closed
260,306,25,2023-03-19,Performance Issue,Material Failure,Low,False,Closed
261,130,16,2023-03-19,Electrical Failure,Design Issue,High,False,Closed
262,143,18,2023-03-19,Electrical Failure,Supplier Defect,Medium,True,Closed
263,149,13,2023-03-19,Overheating,Material Failure,Medium,True,Closed
264,234,22,2023-03-20,Noise,Material Failure,Low,True,Closed
265,105,9,2023-03-20,Noise,Design Issue,Low,False,Closed
266,120,13,2023-03-20,Overheating,Manufacturing Error,High,False,Closed
267,122,23,2023-03-20,Noise,Supplier Defect,Low,False,Closed
268,270,30,2023-03-20,Breakage,Design Issue,Medium,True,Closed
269,244,7,2023-03-21,Noise,Supplier Defect,High,True,Closed
270,205,9,2023-03-21,Noise,Design Issue,Medium,True,Closed
271,155,16,2023-03-22,Software Error,Manufacturing Error,Low,False,Closed
272,370,7,2023-03-22,Leakage,Material Failure,High,True,Closed
273,213,7,2023-03-22,Performance Issue,Supplier Defect,Low,False,Closed
274,50,7,2023-03-22,Performance Issue,Supplier Defect,Medium,True,Closed
275,454,30,2023-03-23,Noise,Unknown,Low,True,Open
276,358,10,2023-03-23,Noise,Material Failure,Medium,False,Closed
277,504,7,2023-03-23,Noise,Supplier Defect,Low,False,Closed
278,169,10,2023-03-23,Noise,Material Failure,High,False,Closed
279,251,6,2023-03-24,Performance Issue,Supplier Defect,Medium,True,Closed
280,416,22,2023-03-24,Noise,Assembly Error,Low,True,Closed
281,282,28,2023-03-25,Leakage,Supplier Defect,Critical,True,Closed
282,472,24,2023-03-26,Breakage,Unknown,Medium,False,Closed
283,269,18,2023-03-26,Electrical Failure,Manufacturing Error,Critical,True,Closed
284,464,29,2023-03-27,Noise,Customer Misuse,Medium,True,Closed
285,28,22,2023-03-27,Performance Issue,Supplier Defect,Medium,False,Closed
286,284,24,2023-03-27,Performance Issue,Design Issue,Low,True,Closed
287,466,27,2023-03-27,Leakage,Customer Misuse,Medium,True,Open
288,428,6,2023-03-27,Noise,Manufacturing Error,Low,False,Closed
289,228,6,2023-03-28,Leakage,Supplier Defect,Medium,False,Closed
290,14,17,2023-03-28,Electrical Failure,Supplier Defect,High,True,Closed
291,486,24,2023-03-28,Breakage,Supplier Defect,Low,False,Closed
292,217,24,2023-03-28,Leakage,Manufacturing Error,High,False,Closed
293,128,20,2023-03-29,Electrical Failure,Material Failure,Medium,True,Closed
294,407,9,2023-03-29,Performance Issue,Manufacturing Error,Low,False,Closed
295,138,2,2023-03-29,Incorrect Installation,Assembly Error,Medium,True,Closed
296,124,2,2023-03-29,Incorrect Installation,Assembly Error,Medium,True,Closed
297,162,24,2023-03-29,Noise,Design Issue,Low,True,Open
298,1,22,2023-03-29,Incorrect Installation,Assembly Error,Medium,False,Closed
299,435,29,2023-03-29,Leakage,Assembly Error,Medium,False,Closed
300,123,17,2023-03-30,Electrical Failure,Supplier Defect,High,True,Closed
301,488,16,2023-03-30,Performance Issue,Supplier Defect,Low,True,Closed
302,259,21,2023-03-30,Overheating,Material Failure,High,True,Closed
303,190,24,2023-03-31,Noise,Unknown,Low,False,Closed
304,377,18,2023-03-31,Software Error,Supplier Defect,High,True,Closed
305,375,27,2023-03-31,Leakage,Manufacturing Error,Medium,False,Closed
306,482,5,2023-04-01,Breakage,Unknown,Critical,True,Closed
307,136,17,2023-04-01,Electrical Failure,Supplier Defect,High,True,Closed
308,878,7,2023-04-02,Breakage,Supplier Defect,Medium,False,Closed
309,384,1,2023-04-03,Breakage,Design Issue,High,True,Closed
310,421,11,2023-04-04,Leakage,Supplier Defect,Medium,False,Closed
311,778,11,2023-04-04,Incorrect Installation,Assembly Error,Low,False,Closed
312,400,3,2023-04-04,Breakage,Material Failure,Medium,True,Closed
313,12,27,2023-04-04,Performance Issue,Manufacturing Error,Low,False,Closed
314,75,7,2023-04-05,Performance Issue,Customer Misuse,High,False,Closed
315,342,23,2023-04-05,Breakage,Supplier Defect,High,False,Closed
316,181,22,2023-04-05,Noise,Design Issue,Medium,True,Closed
317,55,11,2023-04-05,Overheating,Supplier Defect,High,True,Closed
318,666,30,2023-04-06,Noise,Supplier Defect,Low,False,Closed
319,100,24,2023-04-06,Incorrect Installation,Assembly Error,Low,False,Closed
320,428,26,2023-04-06,Noise,Customer Misuse,Medium,False,Closed
321,580,6,2023-04-06,Performance Issue,Manufacturing Error,High,True,Closed
322,461,17,2023-04-08,Electrical Failure,Customer Misuse,Critical,False,Closed
323,426,13,2023-04-08,Overheating,Manufacturing Error,High,False,Closed
324,108,27,2023-04-09,Performance Issue,Manufacturing Error,Medium,True,Closed
325,176,1,2023-04-09,Incorrect Installation,Assembly Error,Critical,True,Closed
326,515,13,2023-04-09,Overheating,Customer Misuse,Critical,True,Closed
327,31,30,2023-04-09,Incorrect Installation,Assembly Error,High,True,Closed
328,446,18,2023-04-09,Electrical Failure,Supplier Defect,Medium,False,Closed
329,232,14,2023-04-10,Overheating,Unknown,Medium,True,Closed
330,566,11,2023-04-10,Leakage,Supplier Defect,High,True,Open
331,63,7,2023-04-10,Performance Issue,Manufacturing Error,Low,False,Closed
332,128,7,2023-04-10,Noise,Assembly Error,Medium,False,Closed
333,623,24,2023-04-11,Noise,Material Failure,Low,False,Closed
334,452,1,2023-04-11,Breakage,Manufacturing Error,Medium,True,Closed
335,711,18,2023-04-11,Performance Issue,Manufacturing Error,Medium,False,Closed
336,90,16,2023-04-11,Electrical Failure,Supplier Defect,High,False,Closed
337,404,7,2023-04-12,Noise,Unknown,Low,False,Closed
338,706,11,2023-04-12,Leakage,Supplier Defect,Medium,True,Closed
339,91,2,2023-04-13,Performance Issue,Design Issue,Medium,True,Closed
340,252,7,2023-04-13,Performance Issue,Material Failure,High,True,Closed
341,131,13,2023-04-13,Leakage,Unknown,Medium,False,Closed
342,38,21,2023-04-14,Performance Issue,Customer Misuse,Medium,False,Closed
343,52,2,2023-04-14,Leakage,Supplier Defect,Low,False,Closed
344,284,27,2023-04-14,Noise,Customer Misuse,Low,True,Closed
345,863,20,2023-04-14,Electrical Failure,Supplier Defect,Low,False,Closed
346,212,11,2023-04-14,Leakage,Supplier Defect,High,True,Closed
347,72,6,2023-04-15,Leakage,Supplier Defect,Low,False,Closed
348,175,10,2023-04-15,Breakage,Material Failure,High,False,Closed
349,876,28,2023-04-16,Electrical Failure,Design Issue,Critical,True,Closed
350,142,27,2023-04-16,Performance Issue,Supplier Defect,Medium,False,Closed
351,96,2,2023-04-16,Leakage,Design Issue,High,False,Closed
352,404,24,2023-04-16,Noise,Material Failure,Low,True,Closed
353,525,3,2023-04-16,Overheating,Manufacturing Error,Low,False,Closed
354,740,16,2023-04-16,Software Error,Supplier Defect,Low,False,Closed
355,630,14,2023-04-18,Overheating,Supplier Defect,High,True,Closed
356,692,27,2023-04-18,Incorrect Installation,Assembly Error,High,True,Closed
357,137,27,2023-04-18,Performance Issue,Customer Misuse,Low,False,Closed
358,265,18,2023-04-18,Electrical Failure,Supplier Defect,High,True,Closed
359,163,17,2023-04-18,Electrical Failure,Unknown,High,True,Closed
360,311,26,2023-04-19,Performance Issue,Supplier Defect,Medium,False,Closed
361,568,11,2023-04-19,Leakage,Supplier Defect,Medium,True,Closed
362,870,21,2023-04-19,Electrical Failure,Material Failure,High,False,Closed
363,230,12,2023-04-20,Noise,Supplier Defect,Medium,True,Closed
364,190,24,2023-04-20,Breakage,Design Issue,High,False,Closed
365,661,14,2023-04-20,Overheating,Design Issue,Critical,True,Closed
366,405,21,2023-04-21,Electrical Failure,Unknown,High,False,Closed
367,795,28,2023-04-21,Performance Issue,Manufacturing Error,High,False,Closed
368,876,7,2023-04-21,Breakage,Material Failure,Medium,False,Closed
369,297,15,2023-04-21,Performance Issue,Supplier Defect,Medium,True,Closed
370,692,27,2023-04-22,Incorrect Installation,Assembly Error,Medium,True,Closed
371,461,12,2023-04-22,Noise,Assembly Error,Low,False,Closed
372,240,27,2023-04-22,Leakage,Supplier Defect,Medium,False,Closed
373,821,13,2023-04-22,Incorrect Installation,Assembly Error,Low,False,Closed
374,738,23,2023-04-23,Performance Issue,Material Failure,Low,True,Closed
375,371,7,2023-04-23,Noise,Customer Misuse,High,False,Closed
376,133,16,2023-04-23,Electrical Failure,Manufacturing Error,Critical,True,Closed
377,749,12,2023-04-24,Overheating,Assembly Error,High,False,Closed
378,656,14,2023-04-24,Leakage,Assembly Error,Medium,False,Closed
379,419,10,2023-04-25,Performance Issue,Supplier Defect,Medium,True,Closed
380,523,22,2023-04-27,Breakage,Customer Misuse,Medium,True,Closed
381,208,30,2023-04-27,Breakage,Supplier Defect,Medium,False,Closed
382,333,22,2023-04-27,Noise,Material Failure,Medium,False,Closed
383,790,16,2023-04-27,Performance Issue,Supplier Defect,Low,True,Closed
384,416,13,2023-04-27,Leakage,Manufacturing Error,Medium,True,Closed
385,210,16,2023-04-28,Incorrect Installation,Assembly Error,High,True,Closed
386,492,27,2023-04-30,Noise,Material Failure,Low,False,Closed
387,702,4,2023-05-01,Breakage,Supplier Defect,High,True,Closed
388,568,28,2023-05-01,Performance Issue,Manufacturing Error,Medium,True,Closed
389,78,7,2023-05-02,Noise,Supplier Defect,Low,False,Closed
390,140,22,2023-05-02,Noise,Manufacturing Error,High,True,Closed
391,27,27,2023-05-02,Incorrect Installation,Assembly Error,Low,False,Closed
392,281,28,2023-05-03,Performance Issue,Supplier Defect,Low,False,Closed
393,104,18,2023-05-03,Electrical Failure,Manufacturing Error,High,True,Closed
