replacement_id,incident_id,part_id,service_date,replacement_cost,labor_cost,transportation_cost,warranty_status,resolution_date,service_center,part_arrival_date
34,61,23,2023-01-20,2006.96,1626.26,1283.66,In Warranty,2023-02-06,Service Center 4,2023-02-04
35,66,7,2023-01-21,947.76,1266.64,46.41,In Warranty,2023-01-22,Service Center 1,2023-01-21
36,75,23,2023-01-21,2261.23,2361.86,1300.09,In Warranty,2023-01-31,Service Center 1,2023-01-27
37,54,6,2023-01-21,2581.7,1866.41,437.87,In Warranty,2023-01-22,Service Center 1,2023-01-21
38,56,7,2023-01-22,975.2,1001.76,54.52,In Warranty,2023-01-24,Service Center 4,2023-01-22
39,50,27,2023-01-22,8813.35,2286.45,2301.04,In Warranty,2023-01-30,Service Center 8,2023-01-29
40,80,13,2023-01-24,431.86,1657.07,554.05,In Warranty,2023-01-26,Service Center 4,2023-01-24
41,74,30,2023-01-24,897.65,960.16,168.54,In Warranty,2023-01-28,Service Center 2,2023-01-24
42,72,27,2023-01-24,8536.16,2373.94,2345.26,In Warranty,2023-02-06,Service Center 7,2023-02-04
43,40,11,2023-01-25,2338.28,2461.93,42.56,In Warranty,2023-01-30,Service Center 5,2023-01-25
44,86,16,2023-01-25,2059.31,1110.31,84.93,In Warranty,2023-01-29,Service Center 6,2023-01-25
45,88,7,2023-01-26,897.6,1370.02,193.12,In Warranty,2023-02-01,Service Center 4,2023-01-28
46,73,11,2023-01-26,2187.14,2811.95,56.59,In Warranty,2023-01-28,Service Center 4,2023-01-26
47,77,24,2023-01-26,1113.05,1451.64,188.16,In Warranty,2023-01-31,Service Center 1,2023-01-27
48,89,14,2023-01-27,738.78,2713.12,649.52,In Warranty,2023-02-06,Service Center 6,2023-02-03
49,67,1,2023-01-27,1146.61,5502.91,2668.03,In Warranty,2023-02-04,Service Center 6,2023-02-03
50,55,9,2023-01-27,1482.19,759.51,1413.85,In Warranty,2023-02-10,Service Center 8,2023-02-07
51,87,8,2023-01-28,1793.13,1048.26,944.2,In Warranty,2023-02-08,Service Center 6,2023-02-06
52,84,9,2023-01-28,1645.3,759.32,1449.49,In Warranty,2023-02-22,Service Center 3,2023-02-17
53,82,13,2023-01-28,489.35,2384.6,1740.12,In Warranty,2023-02-04,Service Center 6,2023-02-02
54,63,4,2023-01-28,2922.08,3787.99,242.3,In Warranty,2023-02-02,Service Center 5,2023-01-30
55,83,15,2023-01-28,15820.27,1150.92,235.86,Out of Warranty,2023-02-07,Service Center 8,2023-02-01
56,92,21,2023-01-28,3733.16,1965.13,488.59,In Warranty,2023-02-01,Service Center 2,2023-01-28
57,63,2,2023-01-28,618.78,1957.12,1408.65,In Warranty,2023-02-02,Service Center 5,2023-01-30
58,92,19,2023-01-28,21788.34,840.78,472.56,In Warranty,2023-02-01,Service Center 2,2023-01-28
59,97,30,2023-01-30,905.4,1429.67,628.28,In Warranty,2023-02-14,Service Center 3,2023-02-09
60,94,30,2023-01-30,843.2,1106.09,604.28,In Warranty,2023-02-16,Service Center 5,2023-02-06
61,96,27,2023-01-31,8180.46,2554.19,640.46,In Warranty,2023-02-03,Service Center 5,2023-01-31
62,95,6,2023-02-01,2462.47,1903.7,1645.41,Out of Warranty,2023-02-14,Service Center 5,2023-02-10
63,102,27,2023-02-03,8741.97,2765.41,2128.23,In Warranty,2023-02-12,Service Center 2,2023-02-10
64,107,21,2023-02-03,3763.61,1568.46,398.57,In Warranty,2023-02-09,Service Center 1,2023-02-03
65,109,16,2023-02-04,2024.69,1574.97,216.2,In Warranty,2023-02-15,Service Center 1,2023-02-11
66,114,27,2023-02-05,9023.69,3001.81,751.05,In Warranty,2023-02-07,Service Center 8,2023-02-05
67,91,12,2023-02-05,4137.77,1870.64,1366.39,In Warranty,2023-02-14,Service Center 5,2023-02-12
68,108,17,2023-02-06,6766.1,1667.08,306.68,In Warranty,2023-02-15,Service Center 3,2023-02-12
69,101,26,2023-02-06,1656.49,6140.13,2445.93,In Warranty,2023-02-16,Service Center 5,2023-02-10
70,116,20,2023-02-07,5486.38,1888.22,1545.82,In Warranty,2023-02-11,Service Center 8,2023-02-09
71,118,13,2023-02-07,491.7,2350.84,1662.48,In Warranty,2023-02-19,Service Center 4,2023-02-12
72,112,7,2023-02-07,909.99,1218.17,161.37,In Warranty,2023-02-10,Service Center 1,2023-02-08
73,123,10,2023-02-08,3447.41,1095.02,778.18,In Warranty,2023-02-17,Service Center 3,2023-02-16
74,122,24,2023-02-09,1142.35,2080.59,160.73,In Warranty,2023-02-15,Service Center 7,2023-02-13
75,119,28,2023-02-09,342.15,2312.99,63.06,In Warranty,2023-02-13,Service Center 2,2023-02-09
76,126,14,2023-02-09,718.54,1646.43,180.66,In Warranty,2023-02-10,Service Center 1,2023-02-09
77,120,18,2023-02-09,10390.62,1068.52,560.15,In Warranty,2023-02-25,Service Center 1,2023-02-20
78,125,7,2023-02-09,884.6,1348.99,133.78,In Warranty,2023-02-17,Service Center 2,2023-02-10
79,105,18,2023-02-09,9773.06,1264.74,506.16,In Warranty,2023-03-08,Service Center 8,2023-03-07
80,127,9,2023-02-10,1584.18,1099.17,1482.46,In Warranty,2023-02-16,Service Center 5,2023-02-14
81,135,12,2023-02-10,4037.56,2674.74,1231.69,In Warranty,2023-03-05,Service Center 5,2023-02-18
82,134,7,2023-02-11,962.25,1253.34,45.4,In Warranty,2023-02-16,Service Center 2,2023-02-11
83,134,9,2023-02-11,1636.6,445.3,545.15,In Warranty,2023-02-16,Service Center 2,2023-02-11
84,131,16,2023-02-12,1980.36,1538.36,75.86,In Warranty,2023-02-14,Service Center 2,2023-02-12
85,145,26,2023-02-13,1634.4,6060.72,2406.84,In Warranty,2023-02-26,Service Center 1,2023-02-22
86,136,7,2023-02-13,986.98,1031.81,52.46,In Warranty,2023-02-17,Service Center 6,2023-02-13
87,130,9,2023-02-14,1592.86,1076.77,1513.59,In Warranty,2023-03-12,Service Center 5,2023-03-11
88,142,5,2023-02-14,3104.55,2207.35,225.77,In Warranty,2023-02-18,Service Center 8,2023-02-14
89,129,15,2023-02-16,15779.39,1489.42,337.74,In Warranty,2023-03-04,Service Center 4,2023-02-27
90,128,7,2023-02-16,895.22,1166.72,139.92,In Warranty,2023-02-26,Service Center 5,2023-02-18
91,152,2,2023-02-16,618.86,4359.86,2092.76,In Warranty,2023-03-07,Service Center 7,2023-03-02
92,150,20,2023-02-17,5638.97,1364.25,465.68,In Warranty,2023-02-22,Service Center 4,2023-02-17
93,150,21,2023-02-17,4199.88,654.06,513.67,In Warranty,2023-02-22,Service Center 4,2023-02-17
94,158,24,2023-02-18,1096.58,1405.73,153.18,In Warranty,2023-02-24,Service Center 8,2023-02-21
95,157,5,2023-02-18,3440.44,1765.46,159.23,Out of Warranty,2023-02-20,Service Center 1,2023-02-18
96,160,10,2023-02-18,3645.86,916.89,556.25,In Warranty,2023-02-25,Service Center 1,2023-02-22
97,153,23,2023-02-18,2122.95,1502.69,1396.09,In Warranty,2023-03-03,Service Center 7,2023-02-25
98,159,25,2023-02-19,5507.52,4793.43,882.23,Out of Warranty,2023-03-07,Service Center 8,2023-03-04
99,164,7,2023-02-19,898.13,783.08,190.79,In Warranty,2023-02-22,Service Center 6,2023-02-20
100,164,10,2023-02-19,3448.62,450.3,688.53,In Warranty,2023-02-22,Service Center 6,2023-02-20
101,143,19,2023-02-21,23268.91,2100.7,1588.56,In Warranty,2023-03-16,Service Center 5,2023-03-14
102,172,13,2023-02-21,456.38,1799.13,1523.91,In Warranty,2023-03-04,Service Center 5,2023-02-28
103,175,13,2023-02-22,440.68,2180.66,1652.56,Out of Warranty,2023-03-07,Service Center 1,2023-03-05
104,169,13,2023-02-23,462.54,2903.6,1719.36,In Warranty,2023-03-17,Service Center 2,2023-03-15
105,182,16,2023-02-23,2089.82,1296.04,73.87,In Warranty,2023-02-24,Service Center 2,2023-02-23
106,170,8,2023-02-23,1951.86,1071.95,280.23,In Warranty,2023-03-02,Service Center 2,2023-02-23
107,183,21,2023-02-23,4032.52,1927.72,1806.48,In Warranty,2023-03-09,Service Center 1,2023-03-06
108,187,12,2023-02-24,4072.43,2925.61,1155.71,In Warranty,2023-02-27,Service Center 1,2023-02-25
109,167,27,2023-02-25,9315.64,2350.14,2283.42,In Warranty,2023-03-09,Service Center 2,2023-03-05
110,162,22,2023-02-25,2856.95,1739.92,1330.53,In Warranty,2023-03-06,Service Center 7,2023-03-03
111,184,8,2023-02-27,1949.99,831.06,931.62,In Warranty,2023-03-11,Service Center 5,2023-03-07
112,171,8,2023-02-27,1880.33,807.75,1257.99,Out of Warranty,2023-03-18,Service Center 4,2023-03-16
113,137,12,2023-02-27,4562.66,2293.06,906.79,Out of Warranty,2023-03-30,Service Center 5,2023-03-27
114,193,11,2023-02-27,2216.67,1826.03,173.01,Out of Warranty,2023-03-03,Service Center 1,2023-02-28
115,184,7,2023-02-27,899.0,352.6,172.07,In Warranty,2023-03-11,Service Center 5,2023-03-07
116,177,21,2023-03-01,3747.53,2042.69,1601.8,In Warranty,2023-03-19,Service Center 7,2023-03-14
117,195,7,2023-03-01,915.6,1334.55,149.41,In Warranty,2023-03-04,Service Center 8,2023-03-03
118,178,2,2023-03-01,682.85,4409.32,605.41,In Warranty,2023-03-08,Service Center 2,2023-03-01
119,202,27,2023-03-02,9311.1,2117.95,2398.96,In Warranty,2023-03-09,Service Center 2,2023-03-07
120,206,16,2023-03-02,2045.51,1193.78,224.8,In Warranty,2023-03-12,Service Center 5,2023-03-07
121,197,2,2023-03-02,652.21,4244.24,1856.68,In Warranty,2023-03-11,Service Center 4,2023-03-07
122,190,7,2023-03-02,857.09,1222.55,164.67,In Warranty,2023-03-11,Service Center 5,2023-03-06
123,188,22,2023-03-02,2557.1,1829.47,1139.81,In Warranty,2023-03-18,Service Center 5,2023-03-11
124,191,16,2023-03-02,1866.79,1920.88,83.57,In Warranty,2023-03-05,Service Center 5,2023-03-02
125,201,1,2023-03-03,1255.64,5508.68,2858.03,In Warranty,2023-03-14,Service Center 3,2023-03-09
126,201,2,2023-03-03,703.54,1538.04,1593.2,In Warranty,2023-03-14,Service Center 3,2023-03-09
127,198,7,2023-03-04,873.75,940.89,143.48,In Warranty,2023-03-09,Service Center 3,2023-03-05
128,210,11,2023-03-04,2379.32,1607.71,165.01,In Warranty,2023-03-14,Service Center 1,2023-03-07
129,216,6,2023-03-06,2452.28,1926.1,1525.67,In Warranty,2023-03-20,Service Center 1,2023-03-19
130,217,11,2023-03-07,2121.53,1478.06,140.38,In Warranty,2023-03-13,Service Center 3,2023-03-09
131,217,14,2023-03-07,691.08,898.03,598.5,In Warranty,2023-03-13,Service Center 3,2023-03-09
132,213,7,2023-03-08,980.56,922.07,178.82,Out of Warranty,2023-03-14,Service Center 8,2023-03-11
133,214,7,2023-03-09,981.9,935.97,159.17,In Warranty,2023-03-18,Service Center 2,2023-03-09
134,205,2,2023-03-09,654.95,3269.29,1556.42,In Warranty,2023-03-19,Service Center 5,2023-03-18
135,215,23,2023-03-09,2121.05,1784.01,1020.17,In Warranty,2023-03-17,Service Center 5,2023-03-15
136,221,11,2023-03-09,2128.5,2746.31,42.16,In Warranty,2023-03-15,Service Center 4,2023-03-09
137,219,30,2023-03-10,807.85,1219.89,183.93,In Warranty,2023-03-16,Service Center 4,2023-03-10
138,227,13,2023-03-10,451.4,2113.4,480.18,In Warranty,2023-03-12,Service Center 2,2023-03-10
139,211,12,2023-03-10,4288.41,2365.88,1352.04,In Warranty,2023-03-28,Service Center 3,2023-03-27
140,218,28,2023-03-10,346.09,2671.77,265.87,In Warranty,2023-03-16,Service Center 8,2023-03-11
141,212,21,2023-03-10,3753.14,2053.95,1275.06,In Warranty,2023-04-06,Service Center 5,2023-03-31
142,224,28,2023-03-10,349.0,2922.26,259.42,In Warranty,2023-03-17,Service Center 3,2023-03-13
143,223,22,2023-03-11,2693.24,1586.5,1581.96,In Warranty,2023-03-22,Service Center 2,2023-03-21
144,228,7,2023-03-11,879.66,1141.6,134.92,In Warranty,2023-03-17,Service Center 2,2023-03-13
145,234,26,2023-03-12,1662.9,5333.05,1612.0,In Warranty,2023-04-09,Service Center 7,2023-04-04
146,225,9,2023-03-12,1618.97,1042.98,1235.96,In Warranty,2023-04-01,Service Center 1,2023-03-29
147,242,1,2023-03-13,1175.21,3108.96,2606.58,Out of Warranty,2023-03-26,Service Center 1,2023-03-25
148,240,6,2023-03-14,2533.9,1772.5,358.83,In Warranty,2023-03-16,Service Center 1,2023-03-14
149,248,28,2023-03-14,382.68,2366.02,260.75,In Warranty,2023-03-29,Service Center 7,2023-03-17
150,247,6,2023-03-15,2372.97,1870.74,1208.95,In Warranty,2023-04-03,Service Center 3,2023-03-31
151,245,14,2023-03-15,737.39,2843.42,692.99,In Warranty,2023-03-23,Service Center 3,2023-03-20
152,238,30,2023-03-15,847.82,1246.32,572.48,In Warranty,2023-04-02,Service Center 7,2023-03-28
153,243,4,2023-03-16,2689.6,4995.08,204.0,In Warranty,2023-03-21,Service Center 5,2023-03-17
154,235,18,2023-03-16,9536.7,1688.14,546.25,In Warranty,2023-03-30,Service Center 5,2023-03-25
155,241,7,2023-03-16,862.47,1436.71,128.12,In Warranty,2023-03-18,Service Center 3,2023-03-17
156,241,10,2023-03-16,3438.04,358.88,766.37,In Warranty,2023-03-18,Service Center 3,2023-03-17
157,253,6,2023-03-17,2523.79,2137.17,1098.57,In Warranty,2023-04-05,Service Center 8,2023-03-29
158,220,7,2023-03-17,874.54,895.76,145.02,In Warranty,2023-03-23,Service Center 5,2023-03-18
159,232,30,2023-03-18,856.32,1224.71,496.47,In Warranty,2023-03-28,Service Center 7,2023-03-26
160,229,1,2023-03-18,1290.33,3454.42,2767.11,In Warranty,2023-04-03,Service Center 5,2023-03-26
161,254,27,2023-03-18,8613.53,3398.44,1965.04,In Warranty,2023-04-01,Service Center 1,2023-03-31
162,250,19,2023-03-20,22741.34,1434.15,1321.97,In Warranty,2023-03-28,Service Center 4,2023-03-25
163,261,30,2023-03-20,840.52,791.01,485.58,In Warranty,2023-04-02,Service Center 7,2023-03-29
164,255,9,2023-03-20,1465.91,1004.38,1317.46,In Warranty,2023-03-29,Service Center 1,2023-03-27
165,256,2,2023-03-21,637.6,5485.86,469.49,In Warranty,2023-03-22,Service Center 2,2023-03-21
166,268,16,2023-03-21,1852.6,1653.24,313.75,In Warranty,2023-03-27,Service Center 1,2023-03-24
167,239,11,2023-03-22,2120.88,1641.44,44.93,In Warranty,2023-03-26,Service Center 8,2023-03-22
168,265,15,2023-03-22,15310.08,1228.47,304.24,In Warranty,2023-03-25,Service Center 5,2023-03-24
169,259,21,2023-03-22,3797.93,1650.76,512.99,In Warranty,2023-03-23,Service Center 1,2023-03-22
170,237,20,2023-03-22,5031.68,2201.92,1513.15,In Warranty,2023-04-10,Service Center 5,2023-04-01
171,259,19,2023-03-22,23485.65,978.64,466.31,In Warranty,2023-03-23,Service Center 1,2023-03-22
172,262,16,2023-03-23,1960.57,1827.32,324.0,In Warranty,2023-03-27,Service Center 4,2023-03-24
173,264,20,2023-03-23,5117.12,1415.74,1149.62,In Warranty,2023-04-14,Service Center 8,2023-04-10
174,263,11,2023-03-24,2138.74,2429.05,43.2,In Warranty,2023-03-27,Service Center 8,2023-03-24
175,270,28,2023-03-24,344.64,1797.16,245.72,In Warranty,2023-03-28,Service Center 6,2023-03-26
176,276,4,2023-03-24,2830.91,5739.91,253.76,In Warranty,2023-03-28,Service Center 3,2023-03-26
177,274,29,2023-03-25,5238.92,1994.7,995.73,In Warranty,2023-03-29,Service Center 2,2023-03-28
178,257,25,2023-03-25,5578.21,4294.03,1097.91,In Warranty,2023-04-05,Service Center 8,2023-03-31
179,280,30,2023-03-26,865.65,895.32,545.76,In Warranty,2023-04-09,Service Center 1,2023-04-05
180,283,11,2023-03-27,2128.2,2909.4,137.28,In Warranty,2023-04-04,Service Center 1,2023-03-29
181,285,12,2023-03-28,4520.78,1820.34,403.36,In Warranty,2023-04-01,Service Center 1,2023-03-28
182,282,13,2023-03-29,478.32,1845.53,376.97,In Warranty,2023-04-01,Service Center 3,2023-03-29
183,287,5,2023-03-30,3331.75,1337.05,576.58,Out of Warranty,,Service Center 3,2023-04-02
184,279,5,2023-03-30,3292.01,1823.68,488.22,In Warranty,2023-04-06,Service Center 1,2023-04-04
185,292,17,2023-03-30,6752.33,1035.86,299.82,In Warranty,2023-04-03,Service Center 2,2023-03-31
186,275,26,2023-03-30,1759.5,7685.02,2379.38,In Warranty,,Service Center 7,2023-04-06
187,297,2,2023-04-01,709.35,4286.6,1695.08,In Warranty,,Service Center 3,2023-04-07
188,300,21,2023-04-01,3828.25,1381.29,1584.46,In Warranty,2023-04-10,Service Center 8,2023-04-07
189,303,27,2023-04-02,8105.31,2296.76,1930.81,In Warranty,2023-04-15,Service Center 4,2023-04-10
190,307,16,2023-04-02,1971.49,1139.24,317.75,In Warranty,2023-04-12,Service Center 1,2023-04-09
191,293,10,2023-04-02,3430.49,1454.83,610.81,In Warranty,2023-04-08,Service Center 1,2023-04-07
192,302,20,2023-04-02,5075.52,1436.8,1564.11,In Warranty,2023-04-18,Service Center 5,2023-04-09
193,296,27,2023-04-03,8592.7,2261.79,587.06,In Warranty,2023-04-07,Service Center 5,2023-04-03
194,305,1,2023-04-04,1221.7,3467.43,705.28,In Warranty,2023-04-09,Service Center 4,2023-04-04
195,294,7,2023-04-04,929.99,927.79,53.29,In Warranty,2023-04-06,Service Center 5,2023-04-04
196,281,13,2023-04-05,458.68,1823.36,1877.49,In Warranty,2023-04-29,Service Center 5,2023-04-20
197,317,6,2023-04-05,2321.95,1504.35,1135.29,In Warranty,2023-04-20,Service Center 1,2023-04-17
198,309,22,2023-04-06,2509.96,1991.76,1493.0,Out of Warranty,2023-04-16,Service Center 1,2023-04-15
199,306,7,2023-04-06,869.54,1119.52,168.98,In Warranty,2023-04-13,Service Center 5,2023-04-06
200,311,22,2023-04-06,2574.34,2305.62,434.12,In Warranty,2023-04-08,Service Center 8,2023-04-06
201,314,11,2023-04-06,2196.62,1617.97,172.38,Out of Warranty,2023-04-20,Service Center 1,2023-04-13
202,301,26,2023-04-07,1711.41,6660.65,2525.45,In Warranty,2023-04-20,Service Center 2,2023-04-19
203,310,15,2023-04-07,15703.19,1711.89,272.5,In Warranty,2023-04-13,Service Center 1,2023-04-11
204,315,18,2023-04-08,9454.06,1146.73,538.63,In Warranty,2023-04-23,Service Center 6,2023-04-19
205,321,25,2023-04-09,5843.86,6268.95,974.45,In Warranty,2023-04-17,Service Center 3,2023-04-10
206,327,7,2023-04-10,858.13,1008.81,128.04,In Warranty,2023-04-21,Service Center 5,2023-04-14
207,312,20,2023-04-10,5424.16,2181.41,431.73,In Warranty,2023-04-13,Service Center 8,2023-04-10
208,327,10,2023-04-10,3826.86,360.51,683.44,In Warranty,2023-04-21,Service Center 5,2023-04-14
209,336,26,2023-04-11,1746.66,4828.14,1725.9,In Warranty,2023-04-20,Service Center 4,2023-04-17
210,320,26,2023-04-11,1678.91,6494.19,714.55,Out of Warranty,2023-04-15,Service Center 6,2023-04-11
211,318,15,2023-04-11,15822.17,1039.84,263.27,In Warranty,2023-04-17,Service Center 3,2023-04-15
212,326,15,2023-04-12,15891.56,1178.17,303.59,Out of Warranty,2023-04-15,Service Center 1,2023-04-13
213,325,12,2023-04-13,4059.8,2810.0,341.94,In Warranty,2023-04-22,Service Center 7,2023-04-13
214,337,7,2023-04-13,988.25,1234.01,172.42,In Warranty,2023-04-15,Service Center 4,2023-04-13
215,338,23,2023-04-14,2152.9,1811.68,1242.37,In Warranty,2023-04-25,Service Center 4,2023-04-23
216,322,8,2023-04-14,1933.55,852.24,305.34,Out of Warranty,2023-04-18,Service Center 6,2023-04-14
217,289,21,2023-04-15,4247.59,1576.08,344.72,In Warranty,2023-04-24,Service Center 5,2023-04-15
218,344,18,2023-04-15,10009.3,1498.3,138.95,Out of Warranty,2023-04-18,Service Center 1,2023-04-15
219,343,30,2023-04-16,885.99,1095.45,685.1,In Warranty,2023-04-29,Service Center 7,2023-04-24
220,350,27,2023-04-17,8823.49,3397.3,1687.1,In Warranty,2023-04-28,Service Center 3,2023-04-25
221,323,24,2023-04-17,1078.2,1772.6,128.55,In Warranty,2023-04-23,Service Center 2,2023-04-20
222,353,4,2023-04-18,2819.87,3213.9,86.46,In Warranty,2023-04-19,Service Center 1,2023-04-18
223,357,21,2023-04-19,3816.65,1964.38,1809.15,Out of Warranty,2023-05-02,Service Center 4,2023-04-28
224,359,15,2023-04-21,15103.58,1208.26,329.93,In Warranty,2023-05-07,Service Center 2,2023-05-02
225,354,17,2023-04-21,6932.9,1349.43,91.1,In Warranty,2023-04-23,Service Center 8,2023-04-21
226,351,27,2023-04-21,8354.13,2609.15,568.65,In Warranty,2023-04-23,Service Center 2,2023-04-21
227,349,16,2023-04-21,1880.85,1566.4,92.72,In Warranty,2023-04-27,Service Center 6,2023-04-21
228,349,17,2023-04-21,6819.93,783.54,70.53,In Warranty,2023-04-27,Service Center 6,2023-04-21
229,363,27,2023-04-22,8222.02,2356.3,1950.33,In Warranty,2023-05-18,Service Center 4,2023-05-11
230,360,19,2023-04-22,21044.14,2021.06,347.02,In Warranty,2023-04-26,Service Center 4,2023-04-22
231,363,28,2023-04-22,378.04,1304.47,269.19,In Warranty,2023-05-18,Service Center 4,2023-05-11
232,362,15,2023-04-23,14951.59,1774.33,214.97,In Warranty,2023-04-30,Service Center 7,2023-04-28
233,367,8,2023-04-24,1890.2,850.78,884.51,In Warranty,2023-05-05,Service Center 7,2023-04-30
234,372,23,2023-04-24,2150.75,1559.31,1394.32,In Warranty,2023-05-12,Service Center 1,2023-05-08
235,355,30,2023-04-24,855.65,1397.44,516.82,In Warranty,2023-04-30,Service Center 3,2023-04-25
236,376,27,2023-04-25,8439.81,2071.8,1849.23,In Warranty,2023-05-03,Service Center 7,2023-04-30
237,369,21,2023-04-25,3891.38,2153.34,1331.97,In Warranty,2023-05-18,Service Center 2,2023-05-15
238,352,7,2023-04-25,874.52,1011.4,47.17,In Warranty,2023-04-27,Service Center 2,2023-04-25
239,368,18,2023-04-26,9705.94,1400.6,449.64,In Warranty,2023-05-06,Service Center 1,2023-05-03
240,379,11,2023-04-26,2091.53,1580.79,50.82,In Warranty,2023-05-01,Service Center 3,2023-04-26
241,358,26,2023-04-26,1727.53,5160.33,2075.54,In Warranty,2023-05-29,Service Center 5,2023-05-26
242,358,25,2023-04-26,5279.76,2695.83,868.32,In Warranty,2023-05-29,Service Center 5,2023-05-26
243,370,13,2023-04-27,443.23,2271.75,1509.8,In Warranty,2023-05-10,Service Center 4,2023-05-06
244,375,24,2023-04-27,1190.94,1993.01,48.61,Out of Warranty,2023-05-03,Service Center 7,2023-04-27
245,377,3,2023-04-28,17826.12,3774.41,2372.1,In Warranty,2023-05-04,Service Center 4,2023-05-01
246,380,18,2023-04-30,9570.31,1411.21,577.95,Out of Warranty,2023-05-18,Service Center 2,2023-05-16
247,381,10,2023-04-30,3447.17,805.97,519.77,In Warranty,2023-05-05,Service Center 2,2023-05-02
248,389,16,2023-05-02,2056.07,1426.43,305.98,In Warranty,2023-05-08,Service Center 1,2023-05-05
249,389,18,2023-05-02,9624.39,429.83,484.57,In Warranty,2023-05-08,Service Center 1,2023-05-05
250,388,7,2023-05-04,874.3,1202.37,153.7,In Warranty,2023-05-07,Service Center 1,2023-05-06
251,399,6,2023-05-05,2436.91,2048.17,1365.59,In Warranty,2023-05-15,Service Center 3,2023-05-09
252,387,9,2023-05-05,1601.83,898.37,1570.51,In Warranty,2023-05-16,Service Center 4,2023-05-12
253,402,15,2023-05-06,14378.36,1784.06,101.06,In Warranty,2023-05-10,Service Center 2,2023-05-06
254,409,9,2023-05-08,1571.55,1165.58,1448.9,In Warranty,2023-06-14,Service Center 2,2023-06-12
255,400,24,2023-05-08,1192.65,1430.23,177.48,In Warranty,2023-05-20,Service Center 6,2023-05-10
256,401,16,2023-05-08,1866.27,1363.93,321.42,In Warranty,2023-05-15,Service Center 1,2023-05-11
