vehicle_id,model,production_year,production_line,factory,fuel_type
47,Compact SUV,2021,F2-L2,Factory 2,Diesel
48,Family SUV,2021,F3-L2,Factory 3,Petrol
49,Pickup Truck,2021,F3-L2,Factory 3,Diesel
50,Compact Sedan,2021,F2-L1,Factory 2,Petrol
51,Compact Sedan,2021,F2-L2,Factory 2,Petrol
52,Compact SUV,2021,F2-L2,Factory 2,Hybrid
53,Compact Sedan,2021,F2-L1,Factory 2,Diesel
54,Family SUV,2021,F3-L1,Factory 3,Diesel
55,City Hatchback,2021,F1-L1,Factory 1,Petrol
56,City Hatchback,2021,F1-L1,Factory 1,Petrol
57,Family SUV,2021,F3-L1,Factory 3,Hybrid
58,Compact SUV,2021,F3-L1,Factory 3,Petrol
59,City Hatchback,2021,F1-L1,Factory 1,Petrol
60,Compact Sedan,2021,F2-L2,Factory 2,Diesel
61,Compact SUV,2021,F3-L1,Factory 3,Hybrid
62,City Hatchback,2021,F1-L2,Factory 1,Petrol
63,Compact Sedan,2021,F2-L1,Factory 2,Diesel
64,Family SUV,2021,F3-L2,Factory 3,Diesel
65,Family SUV,2021,F3-L2,Factory 3,Diesel
66,Family SUV,2021,F3-L2,Factory 3,Hybrid
67,Compact SUV,2021,F3-L1,Factory 3,Petrol
68,Compact SUV,2021,F3-L1,Factory 3,Hybrid
69,City Hatchback,2021,F1-L2,Factory 1,Petrol
70,Compact SUV,2021,F3-L1,Factory 3,Diesel
71,Compact Sedan,2021,F2-L1,Factory 2,Diesel
72,City Hatchback,2021,F1-L1,Factory 1,Petrol
73,Family SUV,2021,F3-L2,Factory 3,Diesel
74,City Hatchback,2021,F1-L2,Factory 1,Petrol
75,Compact SUV,2021,F2-L2,Factory 2,Petrol
76,Compact SUV,2021,F2-L2,Factory 2,Hybrid
77,Compact Sedan,2021,F2-L1,Factory 2,Diesel
78,Family SUV,2021,F3-L2,Factory 3,Hybrid
79,City Hatchback,2021,F1-L1,Factory 1,Hybrid
80,City Hatchback,2021,F1-L1,Factory 1,Petrol
81,Compact Sedan,2021,F2-L1,Factory 2,Petrol
82,Family SUV,2021,F3-L2,Factory 3,Diesel
83,City Hatchback,2021,F1-L2,Factory 1,Diesel
84,City Hatchback,2021,F1-L2,Factory 1,Petrol
85,Compact Sedan,2021,F2-L2,Factory 2,Diesel
86,Compact SUV,2021,F3-L1,Factory 3,Diesel
87,City Hatchback,2021,F1-L2,Factory 1,Petrol
88,City Hatchback,2021,F1-L1,Factory 1,Petrol
89,City Hatchback,2021,F1-L1,Factory 1,Diesel
90,City Hatchback,2021,F1-L1,Factory 1,Diesel
91,Compact SUV,2021,F3-L1,Factory 3,Petrol
92,Compact SUV,2021,F3-L1,Factory 3,Petrol
93,Compact Sedan,2021,F2-L1,Factory 2,Petrol
94,Compact Sedan,2021,F2-L1,Factory 2,Hybrid
95,City Hatchback,2021,F1-L2,Factory 1,Petrol
96,Compact SUV,2021,F2-L2,Factory 2,Petrol
97,Compact Sedan,2021,F2-L1,Factory 2,Diesel
98,Compact SUV,2021,F3-L1,Factory 3,Petrol
99,Compact SUV,2021,F2-L2,Factory 2,Petrol
100,City Hatchback,2021,F1-L1,Factory 1,Petrol
101,City Hatchback,2021,F1-L2,Factory 1,Petrol
102,Pickup Truck,2021,F3-L2,Factory 3,Petrol
103,Compact SUV,2021,F3-L1,Factory 3,Petrol
104,Compact Sedan,2021,F2-L1,Factory 2,Petrol
105,City Hatchback,2021,F1-L1,Factory 1,Diesel
106,Compact SUV,2021,F2-L2,Factory 2,Diesel
107,Compact SUV,2021,F3-L1,Factory 3,Petrol
108,Family SUV,2021,F3-L1,Factory 3,Diesel
109,Compact SUV,2021,F3-L1,Factory 3,Petrol
110,Compact SUV,2021,F2-L2,Factory 2,Diesel
111,Compact SUV,2021,F3-L1,Factory 3,Diesel
112,Compact Sedan,2021,F2-L1,Factory 2,Petrol
113,Family SUV,2021,F3-L1,Factory 3,Petrol
114,Compact Sedan,2021,F2-L1,Factory 2,Diesel
115,Pickup Truck,2021,F3-L2,Factory 3,Diesel
116,City Hatchback,2021,F1-L1,Factory 1,Petrol
117,Compact Sedan,2021,F2-L1,Factory 2,Petrol
118,Compact SUV,2021,F2-L2,Factory 2,Hybrid
119,Compact SUV,2021,F3-L1,Factory 3,Petrol
120,City Hatchback,2021,F1-L2,Factory 1,Hybrid
121,City Hatchback,2021,F1-L2,Factory 1,Diesel
122,Compact Sedan,2021,F2-L1,Factory 2,Diesel
123,Compact SUV,2021,F3-L1,Factory 3,Petrol
124,Compact SUV,2021,F3-L1,Factory 3,Petrol
125,Compact Sedan,2021,F2-L1,Factory 2,Hybrid
126,Compact SUV,2021,F2-L2,Factory 2,Hybrid
127,Compact Sedan,2021,F2-L1,Factory 2,Petrol
128,Family SUV,2021,F3-L1,Factory 3,Hybrid
129,Compact SUV,2021,F3-L1,Factory 3,Diesel
130,Compact Sedan,2021,F2-L1,Factory 2,Diesel
131,Family SUV,2021,F3-L1,Factory 3,Diesel
132,Compact SUV,2021,F2-L2,Factory 2,Hybrid
133,Family SUV,2021,F3-L2,Factory 3,Diesel
134,Pickup Truck,2021,F3-L2,Factory 3,Diesel
135,Pickup Truck,2021,F3-L2,Factory 3,Diesel
136,Compact SUV,2021,F3-L1,Factory 3,Diesel
137,City Hatchback,2021,F1-L1,Factory 1,Hybrid
138,Compact SUV,2021,F2-L2,Factory 2,Petrol
139,Pickup Truck,2021,F3-L2,Factory 3,Diesel
140,Compact SUV,2021,F3-L1,Factory 3,Petrol
141,Pickup Truck,2021,F3-L2,Factory 3,Diesel
142,Compact SUV,2021,F3-L1,Factory 3,Diesel
143,City Hatchback,2021,F1-L2,Factory 1,Petrol
144,City Hatchback,2021,F1-L2,Factory 1,Hybrid
145,Compact SUV,2021,F2-L2,Factory 2,Diesel
146,Compact Sedan,2021,F2-L1,Factory 2,Petrol
147,Compact SUV,2021,F3-L1,Factory 3,Petrol
148,Pickup Truck,2021,F3-L2,Factory 3,Diesel
149,Family SUV,2021,F3-L1,Factory 3,Diesel
150,Compact Sedan,2021,F2-L2,Factory 2,Petrol
151,City Hatchback,2021,F1-L1,Factory 1,Petrol
152,Compact SUV,2021,F3-L1,Factory 3,Diesel
153,Compact SUV,2021,F3-L1,Factory 3,Diesel
154,Pickup Truck,2021,F3-L2,Factory 3,Petrol
155,City Hatchback,2021,F1-L1,Factory 1,Petrol
156,Compact SUV,2021,F3-L1,Factory 3,Diesel
157,Compact Sedan,2021,F2-L1,Factory 2,Diesel
158,Family SUV,2021,F3-L2,Factory 3,Diesel
159,City Hatchback,2021,F1-L1,Factory 1,Petrol
160,Family SUV,2021,F3-L2,Factory 3,Hybrid
161,Pickup Truck,2021,F3-L2,Factory 3,Diesel
162,Compact Sedan,2021,F2-L1,Factory 2,Hybrid
163,Compact SUV,2021,F3-L1,Factory 3,Petrol
164,Pickup Truck,2021,F3-L2,Factory 3,Diesel
165,City Hatchback,2021,F1-L1,Factory 1,Petrol
166,Pickup Truck,2021,F3-L2,Factory 3,Diesel
167,Family SUV,2021,F3-L1,Factory 3,Petrol
168,Compact Sedan,2021,F2-L1,Factory 2,Petrol
169,City Hatchback,2021,F1-L1,Factory 1,Petrol
170,City Hatchback,2021,F1-L2,Factory 1,Hybrid
171,Family SUV,2021,F3-L1,Factory 3,Diesel
172,Pickup Truck,2021,F3-L2,Factory 3,Diesel
173,Compact Sedan,2021,F2-L1,Factory 2,Diesel
174,Compact SUV,2021,F2-L2,Factory 2,Diesel
175,Compact Sedan,2021,F2-L1,Factory 2,Petrol
176,Compact SUV,2021,F3-L1,Factory 3,Diesel
177,Family SUV,2021,F3-L2,Factory 3,Hybrid
178,Pickup Truck,2021,F3-L2,Factory 3,Diesel
179,Compact Sedan,2021,F2-L1,Factory 2,Hybrid
180,Compact Sedan,2021,F2-L1,Factory 2,Petrol
181,Pickup Truck,2021,F3-L2,Factory 3,Diesel
182,Compact Sedan,2021,F2-L2,Factory 2,Diesel
183,Pickup Truck,2021,F3-L2,Factory 3,Diesel
184,City Hatchback,2021,F1-L1,Factory 1,Diesel
185,Family SUV,2021,F3-L1,Factory 3,Diesel
186,Family SUV,2021,F3-L2,Factory 3,Petrol
187,Compact Sedan,2021,F2-L1,Factory 2,Diesel
188,Compact SUV,2021,F2-L2,Factory 2,Petrol
189,Compact SUV,2021,F2-L2,Factory 2,Diesel
190,City Hatchback,2021,F1-L1,Factory 1,Diesel
191,City Hatchback,2021,F1-L1,Factory 1,Petrol
192,Compact SUV,2021,F3-L1,Factory 3,Hybrid
193,Compact SUV,2021,F2-L2,Factory 2,Hybrid
194,Family SUV,2021,F3-L1,Factory 3,Diesel
195,Compact SUV,2021,F2-L2,Factory 2,Petrol
196,Compact SUV,2021,F2-L2,Factory 2,Petrol
197,City Hatchback,2021,F1-L2,Factory 1,Diesel
198,Family SUV,2021,F3-L2,Factory 3,Petrol
199,Pickup Truck,2021,F3-L2,Factory 3,Diesel
200,Compact SUV,2021,F2-L2,Factory 2,Diesel
201,Compact SUV,2021,F2-L2,Factory 2,Diesel
202,Compact SUV,2021,F2-L2,Factory 2,Diesel
203,City Hatchback,2022,F1-L1,Factory 1,Petrol
204,City Hatchback,2022,F1-L1,Factory 1,Petrol
205,Electric Crossover,2022,F1-L2,Factory 1,Electric
206,Compact SUV,2022,F3-L1,Factory 3,Diesel
207,Compact SUV,2022,F2-L2,Factory 2,Petrol
208,Compact SUV,2022,F3-L1,Factory 3,Diesel
209,Electric Crossover,2022,F1-L2,Factory 1,Electric
210,Compact SUV,2022,F2-L2,Factory 2,Petrol
211,City Hatchback,2022,F1-L1,Factory 1,Diesel
212,Family SUV,2022,F3-L1,Factory 3,Diesel
213,Compact SUV,2022,F2-L2,Factory 2,Petrol
214,Electric Crossover,2022,F1-L2,Factory 1,Electric
215,City Hatchback,2022,F1-L1,Factory 1,Petrol
216,Pickup Truck,2022,F3-L2,Factory 3,Diesel
217,Electric Crossover,2022,F1-L2,Factory 1,Electric
218,City Hatchback,2022,F1-L2,Factory 1,Hybrid
219,Family SUV,2022,F3-L2,Factory 3,Hybrid
220,Pickup Truck,2022,F3-L2,Factory 3,Petrol
221,Compact SUV,2022,F3-L1,Factory 3,Petrol
222,Compact SUV,2022,F2-L2,Factory 2,Petrol
223,Pickup Truck,2022,F3-L2,Factory 3,Diesel
224,Compact Sedan,2022,F2-L2,Factory 2,Hybrid
225,Compact Sedan,2022,F2-L1,Factory 2,Diesel
226,Pickup Truck,2022,F3-L2,Factory 3,Diesel
227,Electric Crossover,2022,F1-L2,Factory 1,Electric
228,Family SUV,2022,F3-L1,Factory 3,Diesel
229,Pickup Truck,2022,F3-L2,Factory 3,Diesel
230,Electric Crossover,2022,F1-L2,Factory 1,Electric
231,Electric Crossover,2022,F1-L2,Factory 1,Electric
232,City Hatchback,2022,F1-L2,Factory 1,Petrol
233,City Hatchback,2022,F1-L1,Factory 1,Petrol
234,Compact SUV,2022,F3-L1,Factory 3,Petrol
235,Electric Crossover,2022,F1-L2,Factory 1,Electric
236,Family SUV,2022,F3-L2,Factory 3,Diesel
237,Family SUV,2022,F3-L2,Factory 3,Diesel
238,Compact Sedan,2022,F2-L1,Factory 2,Petrol
239,Compact SUV,2022,F2-L2,Factory 2,Petrol
240,City Hatchback,2022,F1-L2,Factory 1,Petrol
241,Compact Sedan,2022,F2-L1,Factory 2,Diesel
242,Compact Sedan,2022,F2-L2,Factory 2,Diesel
243,City Hatchback,2022,F1-L1,Factory 1,Hybrid
244,City Hatchback,2022,F1-L1,Factory 1,Diesel
245,Compact Sedan,2022,F2-L1,Factory 2,Hybrid
246,Family SUV,2022,F3-L2,Factory 3,Hybrid
247,Electric Crossover,2022,F1-L2,Factory 1,Electric
248,Compact SUV,2022,F3-L1,Factory 3,Hybrid
249,Compact SUV,2022,F2-L2,Factory 2,Petrol
250,Electric Crossover,2022,F1-L2,Factory 1,Electric
251,Compact Sedan,2022,F2-L1,Factory 2,Diesel
252,Pickup Truck,2022,F3-L2,Factory 3,Diesel
253,City Hatchback,2022,F1-L2,Factory 1,Petrol
254,Compact Sedan,2022,F2-L2,Factory 2,Petrol
255,City Hatchback,2022,F1-L2,Factory 1,Petrol
256,Compact Sedan,2022,F2-L2,Factory 2,Petrol
257,Family SUV,2022,F3-L1,Factory 3,Diesel
258,Compact Sedan,2022,F2-L2,Factory 2,Petrol
259,Pickup Truck,2022,F3-L2,Factory 3,Diesel
260,Family SUV,2022,F3-L2,Factory 3,Petrol
261,Compact SUV,2022,F2-L2,Factory 2,Diesel
262,Pickup Truck,2022,F3-L2,Factory 3,Diesel
263,Compact Sedan,2022,F2-L2,Factory 2,Petrol
264,Compact SUV,2022,F3-L1,Factory 3,Hybrid
265,City Hatchback,2022,F1-L1,Factory 1,Petrol
266,Pickup Truck,2022,F3-L2,Factory 3,Diesel
267,Family SUV,2022,F3-L2,Factory 3,Petrol
268,Pickup Truck,2022,F3-L2,Factory 3,Diesel
269,Family SUV,2022,F3-L2,Factory 3,Diesel
270,Compact SUV,2022,F3-L1,Factory 3,Petrol
271,Family SUV,2022,F3-L2,Factory 3,Diesel
272,Compact Sedan,2022,F2-L1,Factory 2,Hybrid
273,Compact Sedan,2022,F2-L1,Factory 2,Petrol
274,Family SUV,2022,F3-L2,Factory 3,Diesel
275,City Hatchback,2022,F1-L1,Factory 1,Petrol
276,Family SUV,2022,F3-L2,Factory 3,Petrol
277,Compact Sedan,2022,F2-L1,Factory 2,Petrol
278,Compact SUV,2022,F2-L2,Factory 2,Petrol
279,City Hatchback,2022,F1-L2,Factory 1,Petrol
280,Electric Crossover,2022,F1-L2,Factory 1,Electric
281,Compact SUV,2022,F3-L1,Factory 3,Hybrid
282,Compact SUV,2022,F2-L2,Factory 2,Diesel
283,City Hatchback,2022,F1-L1,Factory 1,Hybrid
284,Compact SUV,2022,F2-L2,Factory 2,Hybrid
285,Electric Crossover,2022,F1-L2,Factory 1,Electric
286,Compact SUV,2022,F2-L2,Factory 2,Hybrid
287,Compact Sedan,2022,F2-L1,Factory 2,Petrol
288,Pickup Truck,2022,F3-L2,Factory 3,Petrol
289,Compact SUV,2022,F2-L2,Factory 2,Diesel
290,Family SUV,2022,F3-L2,Factory 3,Petrol
291,Compact Sedan,2022,F2-L1,Factory 2,Petrol
292,Electric Crossover,2022,F1-L2,Factory 1,Electric
293,Family SUV,2022,F3-L2,Factory 3,Diesel
294,City Hatchback,2022,F1-L1,Factory 1,Diesel
295,Electric Crossover,2022,F1-L2,Factory 1,Electric
296,Compact SUV,2022,F2-L2,Factory 2,Petrol
297,Family SUV,2022,F3-L1,Factory 3,Diesel
298,City Hatchback,2022,F1-L1,Factory 1,Diesel
299,Compact SUV,2022,F3-L1,Factory 3,Hybrid
300,Electric Crossover,2022,F1-L2,Factory 1,Electric
301,Compact SUV,2022,F3-L1,Factory 3,Petrol
302,City Hatchback,2022,F1-L2,Factory 1,Petrol
303,Compact Sedan,2022,F2-L1,Factory 2,Petrol
304,Electric Crossover,2022,F1-L2,Factory 1,Electric
305,Compact Sedan,2022,F2-L2,Factory 2,Hybrid
306,Compact SUV,2022,F2-L2,Factory 2,Petrol
307,City Hatchback,2022,F1-L1,Factory 1,Hybrid
308,Family SUV,2022,F3-L2,Factory 3,Petrol
309,Compact Sedan,2022,F2-L1,Factory 2,Diesel
310,Electric Crossover,2022,F1-L2,Factory 1,Electric
311,Compact SUV,2022,F2-L2,Factory 2,Hybrid
312,Compact SUV,2022,F3-L1,Factory 3,Diesel
313,Compact Sedan,2022,F2-L2,Factory 2,Hybrid
314,City Hatchback,2022,F1-L2,Factory 1,Petrol
315,Family SUV,2022,F3-L2,Factory 3,Hybrid
316,Compact Sedan,2022,F2-L1,Factory 2,Diesel
317,Pickup Truck,2022,F3-L2,Factory 3,Petrol
318,Compact SUV,2022,F2-L2,Factory 2,Petrol
319,Electric Crossover,2022,F1-L2,Factory 1,Electric
320,Family SUV,2022,F3-L2,Factory 3,Petrol
321,City Hatchback,2022,F1-L1,Factory 1,Hybrid
322,Compact Sedan,2022,F2-L2,Factory 2,Petrol
323,Compact Sedan,2022,F2-L2,Factory 2,Diesel
324,City Hatchback,2022,F1-L2,Factory 1,Petrol
325,Compact Sedan,2022,F2-L2,Factory 2,Petrol
326,Compact Sedan,2022,F2-L2,Factory 2,Diesel
327,Pickup Truck,2022,F3-L2,Factory 3,Diesel
328,Family SUV,2022,F3-L1,Factory 3,Diesel
329,Compact Sedan,2022,F2-L2,Factory 2,Diesel
330,City Hatchback,2022,F1-L2,Factory 1,Diesel
331,Compact SUV,2022,F3-L1,Factory 3,Petrol
332,Compact Sedan,2022,F2-L1,Factory 2,Petrol
333,Pickup Truck,2022,F3-L2,Factory 3,Diesel
334,Compact SUV,2022,F2-L2,Factory 2,Petrol
335,Compact Sedan,2022,F2-L2,Factory 2,Petrol
336,City Hatchback,2022,F1-L1,Factory 1,Petrol
337,Pickup Truck,2022,F3-L2,Factory 3,Diesel
338,Compact SUV,2022,F2-L2,Factory 2,Hybrid
339,City Hatchback,2022,F1-L2,Factory 1,Petrol
340,Compact Sedan,2022,F2-L1,Factory 2,Hybrid
341,City Hatchback,2022,F1-L2,Factory 1,Petrol
342,Electric Crossover,2022,F1-L2,Factory 1,Electric
343,City Hatchback,2022,F1-L2,Factory 1,Hybrid
344,Family SUV,2022,F3-L2,Factory 3,Diesel
345,Compact Sedan,2022,F2-L2,Factory 2,Petrol
346,Electric Crossover,2022,F1-L2,Factory 1,Electric
347,City Hatchback,2022,F1-L2,Factory 1,Diesel
348,Electric Crossover,2022,F1-L2,Factory 1,Electric
349,Family SUV,2022,F3-L2,Factory 3,Diesel
350,Compact Sedan,2022,F2-L1,Factory 2,Diesel
351,Electric Crossover,2022,F1-L2,Factory 1,Electric
352,Family SUV,2022,F3-L2,Factory 3,Diesel
353,Compact Sedan,2022,F2-L1,Factory 2,Petrol
354,Compact Sedan,2022,F2-L2,Factory 2,Petrol
355,Family SUV,2022,F3-L2,Factory 3,Diesel
356,Electric Crossover,2022,F1-L2,Factory 1,Electric
357,City Hatchback,2022,F1-L2,Factory 1,Petrol
358,City Hatchback,2022,F1-L2,Factory 1,Diesel
359,City Hatchback,2022,F1-L1,Factory 1,Petrol
360,Family SUV,2022,F3-L2,Factory 3,Hybrid
361,Compact SUV,2022,F3-L1,Factory 3,Hybrid
362,Pickup Truck,2022,F3-L2,Factory 3,Diesel
363,Electric Crossover,2022,F1-L2,Factory 1,Electric
364,Electric Crossover,2022,F1-L2,Factory 1,Electric
365,Compact Sedan,2022,F2-L2,Factory 2,Petrol
366,Compact SUV,2022,F2-L2,Factory 2,Diesel
367,Pickup Truck,2022,F3-L2,Factory 3,Diesel
368,City Hatchback,2022,F1-L2,Factory 1,Petrol
369,City Hatchback,2022,F1-L1,Factory 1,Petrol
370,City Hatchback,2022,F1-L2,Factory 1,Diesel
371,Family SUV,2022,F3-L2,Factory 3,Petrol
372,Family SUV,2022,F3-L2,Factory 3,Petrol
373,Compact SUV,2022,F2-L2,Factory 2,Petrol
374,Family SUV,2022,F3-L1,Factory 3,Petrol
375,City Hatchback,2022,F1-L2,Factory 1,Diesel
376,City Hatchback,2022,F1-L2,Factory 1,Petrol
377,Electric Crossover,2022,F1-L2,Factory 1,Electric
378,Compact Sedan,2022,F2-L1,Factory 2,Petrol
379,City Hatchback,2022,F1-L1,Factory 1,Hybrid
380,City Hatchback,2022,F1-L1,Factory 1,Petrol
381,City Hatchback,2022,F1-L2,Factory 1,Petrol
382,Compact Sedan,2022,F2-L2,Factory 2,Petrol
383,Family SUV,2022,F3-L1,Factory 3,Petrol
384,Compact Sedan,2022,F2-L2,Factory 2,Petrol
385,Compact Sedan,2022,F2-L1,Factory 2,Hybrid
386,Compact SUV,2022,F2-L2,Factory 2,Petrol
387,City Hatchback,2022,F1-L1,Factory 1,Petrol
388,Pickup Truck,2022,F3-L2,Factory 3,Petrol
389,City Hatchback,2022,F1-L1,Factory 1,Hybrid
390,City Hatchback,2022,F1-L2,Factory 1,Petrol
391,City Hatchback,2022,F1-L2,Factory 1,Petrol
392,Compact SUV,2022,F3-L1,Factory 3,Hybrid
393,Compact Sedan,2022,F2-L1,Factory 2,Hybrid
394,City Hatchback,2022,F1-L2,Factory 1,Petrol
395,Family SUV,2022,F3-L2,Factory 3,Hybrid
396,Family SUV,2022,F3-L1,Factory 3,Petrol
397,Compact Sedan,2022,F2-L2,Factory 2,Diesel
398,Family SUV,2022,F3-L1,Factory 3,Diesel
399,Family SUV,2022,F3-L2,Factory 3,Hybrid
400,Compact SUV,2022,F3-L1,Factory 3,Diesel
401,Compact SUV,2022,F3-L1,Factory 3,Diesel
402,City Hatchback,2022,F1-L1,Factory 1,Petrol
403,Compact SUV,2022,F2-L2,Factory 2,Diesel
404,Compact SUV,2022,F2-L2,Factory 2,Diesel
405,Compact SUV,2022,F3-L1,Factory 3,Petrol
406,Family SUV,2022,F3-L2,Factory 3,Diesel
407,Compact Sedan,2022,F2-L1,Factory 2,Diesel
408,Compact Sedan,2022,F2-L2,Factory 2,Petrol
409,Family SUV,2022,F3-L1,Factory 3,Diesel
410,Compact SUV,2022,F2-L2,Factory 2,Diesel
411,Family SUV,2022,F3-L2,Factory 3,Hybrid
412,City Hatchback,2022,F1-L1,Factory 1,Hybrid
413,Family SUV,2022,F3-L2,Factory 3,Petrol
414,Family SUV,2022,F3-L1,Factory 3,Petrol
415,Electric Crossover,2022,F1-L2,Factory 1,Electric
416,Compact SUV,2022,F3-L1,Factory 3,Diesel
417,Compact Sedan,2022,F2-L1,Factory 2,Petrol
418,Compact SUV,2022,F3-L1,Factory 3,Hybrid
419,Electric Crossover,2022,F1-L2,Factory 1,Electric
420,City Hatchback,2022,F1-L2,Factory 1,Petrol
421,Pickup Truck,2022,F3-L2,Factory 3,Diesel
422,Compact Sedan,2022,F2-L2,Factory 2,Diesel
423,Compact SUV,2022,F2-L2,Factory 2,Diesel
424,Electric Crossover,2022,F1-L2,Factory 1,Electric
425,Compact SUV,2022,F2-L2,Factory 2,Hybrid
426,Compact SUV,2022,F2-L2,Factory 2,Hybrid
427,Compact Sedan,2022,F2-L1,Factory 2,Petrol
428,Compact Sedan,2022,F2-L2,Factory 2,Petrol
429,Compact Sedan,2022,F2-L1,Factory 2,Diesel
430,Electric Crossover,2022,F1-L2,Factory 1,Electric
431,Compact Sedan,2022,F2-L1,Factory 2,Petrol
432,Compact Sedan,2022,F2-L1,Factory 2,Diesel
433,Compact SUV,2022,F3-L1,Factory 3,Diesel
434,Family SUV,2022,F3-L2,Factory 3,Diesel
435,Compact SUV,2022,F3-L1,Factory 3,Petrol
436,Compact SUV,2022,F2-L2,Factory 2,Petrol
437,Electric Crossover,2022,F1-L2,Factory 1,Electric
438,Compact Sedan,2022,F2-L2,Factory 2,Hybrid
439,City Hatchback,2022,F1-L1,Factory 1,Petrol
440,Compact Sedan,2022,F2-L1,Factory 2,Petrol
441,Family SUV,2022,F3-L2,Factory 3,Petrol
442,Compact Sedan,2022,F2-L2,Factory 2,Diesel
443,Compact Sedan,2022,F2-L1,Factory 2,Petrol
444,Family SUV,2022,F3-L2,Factory 3,Hybrid
445,Pickup Truck,2022,F3-L2,Factory 3,Petrol
446,Family SUV,2022,F3-L1,Factory 3,Petrol
447,Compact Sedan,2022,F2-L2,Factory 2,Diesel
448,Compact SUV,2022,F2-L2,Factory 2,Hybrid
449,Family SUV,2022,F3-L1,Factory 3,Petrol
450,Family SUV,2022,F3-L1,Factory 3,Petrol
451,Compact Sedan,2022,F2-L1,Factory 2,Petrol
452,City Hatchback,2022,F1-L1,Factory 1,Diesel
453,Pickup Truck,2022,F3-L2,Factory 3,Diesel
454,Compact SUV,2022,F3-L1,Factory 3,Petrol
455,Compact Sedan,2022,F2-L1,Factory 2,Petrol
456,Compact SUV,2022,F2-L2,Factory 2,Petrol
457,City Hatchback,2022,F1-L1,Factory 1,Hybrid
458,Family SUV,2022,F3-L2,Factory 3,Diesel
459,Electric Crossover,2022,F1-L2,Factory 1,Electric
460,Compact SUV,2022,F3-L1,Factory 3,Diesel
461,City Hatchback,2022,F1-L1,Factory 1,Petrol
462,City Hatchback,2022,F1-L1,Factory 1,Diesel
463,Family SUV,2022,F3-L2,Factory 3,Petrol
464,Electric Crossover,2022,F1-L2,Factory 1,Electric
465,Family SUV,2022,F3-L1,Factory 3,Petrol
466,Family SUV,2022,F3-L1,Factory 3,Hybrid
467,Compact Sedan,2022,F2-L1,Factory 2,Petrol
468,Electric Crossover,2022,F1-L2,Factory 1,Electric
469,Family SUV,2022,F3-L2,Factory 3,Diesel
470,Compact Sedan,2022,F2-L1,Factory 2,Petrol
471,Compact Sedan,2022,F2-L1,Factory 2,Petrol
472,Pickup Truck,2022,F3-L2,Factory 3,Petrol
473,Compact Sedan,2022,F2-L1,Factory 2,Hybrid
474,City Hatchback,2022,F1-L2,Factory 1,Petrol
475,Family SUV,2022,F3-L2,Factory 3,Diesel
476,Compact SUV,2022,F2-L2,Factory 2,Diesel
